Product Name, Price (Rs), Rating, No. of customer Review, Product Url 
,,,,,,,,
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","1,599",4.4 out of 5 stars,"2,084",https://amazon.in//FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_63?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-63,,,,
,,,,,,,,
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,439,4.1 out of 5 stars,22,https://amazon.in//LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_64?crid=2M096C61O4MLT&keywords=bags&qid=1688716537&sprefix=ba%2Caps%2C283&sr=8-64,,,,
,,,,,,,,
Gear Polyester 23 Cms Travel Duffle Bag (Black),479,4.3 out of 5 stars,"2,156",https://amazon.in//Gear-Training-Travel-Black-Grey-DUFCRSTNG0104/dp/B098FFTDKT/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1688716543&sprefix=ba%2Caps%2C283&sr=8-65,,,,
,,,,,,,,
MI Business Casual 21L Water Resistant Laptop Backpack,949,4.4 out of 5 stars,"4,484",https://amazon.in//Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1688716543&sprefix=ba%2Caps%2C283&sr=8-66,,,,
,,,,,,,,
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","1,599",4.4 out of 5 stars,"2,084",https://amazon.in//FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1688716543&sprefix=ba%2Caps%2C283&sr=8-67,,,,
,,,,,,,,
